,Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Risk,Purpose
594,40,male,3,own,,little,24,bad,vacation/others
595,32,female,1,own,moderate,moderate,6,bad,car
596,23,female,2,rent,little,little,24,bad,furniture/equipment
597,36,male,1,own,little,moderate,24,bad,business
598,31,male,2,own,little,,18,bad,car
599,32,male,2,free,little,,24,good,business
600,45,female,2,own,little,moderate,7,good,radio/TV
601,30,female,2,own,little,moderate,9,bad,furniture/equipment
602,34,female,1,free,little,moderate,24,bad,education
603,28,female,3,own,little,,36,bad,furniture/equipment
604,23,female,2,own,little,rich,10,good,furniture/equipment
605,22,male,2,own,quite rich,little,24,good,furniture/equipment
606,74,male,3,own,little,,24,good,business
607,50,female,2,free,moderate,moderate,36,bad,radio/TV
608,33,male,2,own,little,,18,good,radio/TV
609,45,male,2,free,,,15,good,car
610,22,female,2,own,moderate,little,12,bad,domestic appliances
611,48,female,1,free,moderate,rich,10,bad,car
612,29,female,2,own,rich,little,21,good,radio/TV
613,22,female,2,rent,little,little,24,good,car
614,22,female,2,own,little,,18,bad,furniture/equipment
615,48,male,3,own,,moderate,48,good,business
616,27,male,3,free,,moderate,60,good,radio/TV
617,37,male,2,rent,little,little,6,good,car
618,21,female,2,rent,moderate,moderate,30,bad,furniture/equipment
619,49,male,1,own,little,,12,good,car
620,27,male,2,own,little,moderate,21,good,business
621,32,male,2,own,little,,18,bad,car
622,38,male,2,own,,,48,bad,business
623,22,female,2,rent,little,little,12,good,furniture/equipment
624,65,male,2,free,little,little,18,bad,radio/TV
625,35,male,2,own,,,15,good,radio/TV
626,41,male,2,own,little,rich,6,good,furniture/equipment
627,29,male,2,own,moderate,moderate,9,bad,car
628,36,male,2,own,quite rich,,42,good,furniture/equipment
629,64,male,1,own,,,9,good,education
630,28,female,2,own,little,little,24,good,radio/TV
631,44,male,2,own,little,little,18,bad,furniture/equipment
632,23,male,2,own,,moderate,15,good,radio/TV
633,19,female,2,rent,little,,9,bad,furniture/equipment
634,25,female,1,own,little,moderate,24,bad,car
635,47,male,2,own,little,,12,good,education
636,28,female,2,own,quite rich,,24,good,radio/TV
637,21,male,2,own,little,,60,good,radio/TV
638,34,female,2,own,little,,12,good,radio/TV
639,26,male,2,own,little,little,42,bad,radio/TV
640,27,female,0,own,little,little,18,bad,education
641,38,male,1,own,little,moderate,15,good,repairs
642,40,male,3,own,moderate,,15,bad,education
643,33,male,2,own,little,,24,good,radio/TV
644,32,male,3,own,little,little,18,good,radio/TV
645,27,male,2,rent,,,36,bad,business
646,32,male,2,own,little,little,30,good,furniture/equipment
647,26,female,2,own,quite rich,,12,bad,car
648,38,male,2,free,little,rich,24,bad,business
649,40,male,1,rent,little,little,12,bad,education
650,50,male,3,free,little,little,48,good,education
651,37,male,1,own,little,moderate,12,bad,furniture/equipment
652,45,male,2,own,little,little,24,bad,furniture/equipment
653,42,male,3,own,moderate,moderate,36,bad,car
654,35,male,2,own,little,,24,good,car
655,22,male,2,free,little,little,14,good,car
656,41,male,1,own,little,moderate,12,bad,car
657,37,male,2,own,,,48,good,radio/TV
658,28,female,2,own,little,moderate,30,good,business
659,41,male,2,own,little,moderate,18,good,furniture/equipment
660,23,male,2,rent,little,rich,12,good,radio/TV
661,23,male,2,own,,little,12,bad,car
662,50,male,2,own,little,,21,good,furniture/equipment
663,35,male,3,own,little,moderate,6,good,furniture/equipment
664,50,female,1,own,little,rich,6,good,education
665,27,male,3,own,little,,24,good,vacation/others
666,34,male,2,own,rich,moderate,30,good,furniture/equipment
667,27,female,2,own,little,,48,good,business
668,43,male,2,rent,little,little,12,bad,car
669,47,male,2,own,little,rich,30,good,radio/TV
670,27,male,1,own,moderate,,24,good,business
671,31,male,2,own,moderate,,36,good,business
672,42,male,3,own,little,,60,good,car
673,24,male,2,own,quite rich,,6,good,car
674,41,male,1,own,quite rich,,21,bad,business
675,26,female,3,rent,little,,30,good,radio/TV
676,33,male,2,own,little,,24,good,furniture/equipment
677,24,male,2,own,moderate,moderate,72,bad,radio/TV
678,64,male,1,rent,little,little,24,good,radio/TV
679,26,female,2,own,little,,18,good,radio/TV
680,56,female,2,own,little,,6,good,education
681,37,male,2,free,,,12,good,radio/TV
682,33,male,2,own,little,,15,good,radio/TV
683,47,male,2,free,little,,24,good,radio/TV
684,31,male,1,own,moderate,moderate,36,good,business
685,34,male,2,free,,,60,good,car
686,27,male,2,own,,rich,10,good,radio/TV
687,30,male,2,free,moderate,moderate,36,good,car
688,35,male,2,own,moderate,,9,good,radio/TV
689,31,male,2,own,rich,little,12,good,car
690,25,male,2,own,little,little,15,good,furniture/equipment
691,25,female,1,own,moderate,moderate,15,good,repairs
692,29,male,2,own,moderate,moderate,24,good,radio/TV
693,44,male,1,own,,little,6,good,car
694,28,male,2,own,little,,24,good,radio/TV
695,50,male,2,rent,quite rich,,6,good,car
696,29,male,2,own,little,moderate,12,good,radio/TV
697,38,female,0,own,little,,12,good,car
698,24,male,2,own,little,,18,good,radio/TV
699,40,male,3,rent,little,rich,15,good,education
700,29,female,1,rent,quite rich,,12,bad,furniture/equipment
701,46,male,2,free,little,little,48,bad,car
702,47,female,2,free,moderate,rich,24,good,radio/TV
703,41,male,2,own,moderate,moderate,30,good,business
704,32,female,2,own,little,moderate,27,good,business
705,35,female,2,free,quite rich,,15,good,car
706,24,male,2,own,moderate,moderate,48,bad,car
707,25,female,2,rent,little,moderate,12,bad,furniture/equipment
708,25,female,2,own,little,moderate,9,good,radio/TV
709,37,male,1,own,little,moderate,9,good,radio/TV
710,32,male,3,own,quite rich,,18,good,radio/TV
711,35,female,2,free,little,little,6,bad,education
712,46,male,3,own,,,21,good,car
713,25,male,1,own,little,little,9,good,radio/TV
714,27,male,3,own,little,moderate,60,bad,car
715,63,male,2,own,,,30,good,car
716,40,male,2,own,,,30,good,radio/TV
717,32,male,3,free,little,,18,good,radio/TV
718,31,male,2,own,,rich,24,good,radio/TV
719,31,male,2,own,moderate,moderate,20,good,car
720,34,male,3,own,little,rich,9,bad,radio/TV
721,24,female,2,rent,rich,moderate,6,bad,education
722,24,female,1,own,little,little,12,bad,car
723,66,female,1,own,quite rich,moderate,9,good,radio/TV
724,21,female,2,rent,little,,27,bad,car
725,41,female,1,own,rich,,6,good,car
726,47,male,1,own,quite rich,,15,good,radio/TV
727,25,female,2,rent,little,little,18,bad,radio/TV
728,59,female,2,rent,little,moderate,48,bad,business
729,36,male,2,own,rich,rich,24,good,business
730,33,male,2,own,little,moderate,24,good,radio/TV
731,21,male,1,rent,little,little,24,bad,radio/TV
732,44,female,1,own,little,moderate,8,good,radio/TV
733,28,female,2,rent,rich,,24,good,car
734,37,female,2,own,little,,4,good,car
735,29,female,0,own,,moderate,36,good,domestic appliances
736,23,female,3,rent,little,moderate,24,bad,car
737,35,male,1,own,moderate,little,18,good,car
738,45,male,3,own,little,,6,good,car
739,26,female,1,rent,moderate,moderate,30,bad,business
740,32,male,2,own,moderate,little,24,good,car
741,23,male,1,own,little,moderate,10,good,radio/TV
742,41,male,2,own,,,21,good,radio/TV
743,22,male,2,own,quite rich,little,24,good,furniture/equipment
744,30,male,3,own,,little,39,good,furniture/equipment
745,28,male,1,own,little,little,13,good,business
746,23,female,2,rent,little,little,15,good,car
747,37,female,1,own,little,little,12,bad,car
748,26,male,2,own,,,21,good,car
749,33,male,2,own,little,,15,good,car
750,49,female,2,own,little,little,6,good,furniture/equipment
751,23,female,1,own,little,little,18,bad,car
752,23,female,1,rent,moderate,moderate,12,good,business
753,25,female,2,own,little,,30,good,radio/TV
754,55,male,2,free,rich,,12,bad,repairs
755,32,female,2,rent,,little,24,bad,radio/TV
756,74,male,0,own,little,rich,6,good,car
757,39,male,2,free,,rich,15,bad,radio/TV
758,31,male,2,own,little,,24,good,car
759,35,male,2,own,little,little,12,bad,car
760,59,female,2,own,,,15,good,car
761,24,female,2,rent,little,little,18,bad,furniture/equipment
762,24,male,1,own,little,little,12,good,radio/TV
763,30,male,3,free,,,21,bad,car
764,27,male,2,own,moderate,,24,good,car
765,40,male,1,own,little,moderate,12,good,radio/TV
766,31,male,1,own,little,little,30,bad,furniture/equipment
767,31,female,2,rent,,,10,good,car
768,28,male,2,rent,little,moderate,12,good,furniture/equipment
769,63,male,1,own,little,,12,good,radio/TV
770,26,female,2,rent,,little,24,good,car
771,25,female,3,own,little,little,36,bad,education
772,36,male,3,own,little,,21,good,car
773,52,male,2,own,moderate,,24,good,radio/TV
774,66,male,0,free,quite rich,rich,12,good,car
775,25,female,2,rent,,little,24,bad,business
776,37,male,2,own,little,,36,good,car
777,25,female,2,own,little,little,18,good,radio/TV
778,38,male,3,own,rich,,36,good,car
779,67,female,2,own,little,moderate,18,good,repairs
780,25,male,2,own,little,moderate,39,bad,radio/TV
781,60,male,2,own,rich,,24,good,car
782,31,male,1,own,little,moderate,12,good,education
783,23,female,1,own,moderate,moderate,12,bad,car
784,60,male,3,own,,moderate,20,good,car
785,35,male,1,own,rich,moderate,18,good,business
786,40,male,2,own,quite rich,,22,good,radio/TV
787,38,male,2,own,,,48,good,car
788,50,male,2,free,little,moderate,48,bad,education
789,27,male,2,own,little,little,40,bad,education
790,39,female,2,own,little,moderate,21,bad,business
791,41,male,3,own,,,24,good,car
792,27,male,2,own,,,6,good,furniture/equipment
793,51,male,2,free,little,rich,24,good,furniture/equipment
794,32,male,2,rent,quite rich,,24,good,furniture/equipment
795,22,female,2,rent,moderate,,9,good,furniture/equipment
796,51,male,2,free,,little,18,bad,car
797,22,female,1,rent,little,,12,good,furniture/equipment
798,54,male,2,own,,,24,good,car
799,35,male,0,own,,moderate,9,good,car
800,54,male,2,free,little,,24,good,education
801,48,female,1,rent,little,moderate,18,good,radio/TV
802,24,female,2,own,little,little,20,good,furniture/equipment
803,35,male,2,own,,,12,good,radio/TV
804,24,female,0,rent,,moderate,12,good,car
805,24,male,2,own,little,little,36,bad,car
806,26,male,1,own,little,moderate,6,good,radio/TV
807,65,male,2,own,,,12,good,radio/TV
808,55,male,3,free,little,moderate,42,good,car
809,26,female,0,rent,little,moderate,15,bad,car
810,26,male,2,own,little,moderate,8,good,business
811,28,male,1,own,little,moderate,6,good,radio/TV
812,24,male,2,own,little,little,36,bad,car
813,54,male,2,own,little,little,48,bad,domestic appliances
814,46,male,2,free,little,little,48,bad,car
815,54,female,2,rent,little,moderate,36,good,car
816,62,male,2,own,quite rich,,6,good,domestic appliances
817,24,female,2,rent,little,,6,good,radio/TV
818,43,male,3,own,little,little,36,good,vacation/others
819,26,male,2,own,little,little,18,bad,radio/TV
820,27,male,2,own,little,,12,good,car
821,24,male,2,own,little,rich,12,good,radio/TV
822,41,male,2,own,little,little,36,bad,furniture/equipment
823,47,male,1,own,little,little,8,good,car
824,35,male,3,own,little,,18,good,furniture/equipment
825,30,male,2,own,little,little,21,good,car
826,33,female,2,rent,little,little,18,bad,car
827,36,male,2,own,little,,18,bad,business
828,47,male,2,free,,little,36,bad,car
829,38,male,2,free,,moderate,48,good,business
830,44,male,2,own,quite rich,,24,good,business
831,23,female,2,rent,little,little,18,bad,car
832,29,male,2,rent,little,little,45,bad,business
833,42,female,2,own,,moderate,24,good,radio/TV
834,25,female,1,own,little,rich,15,bad,radio/TV
835,48,male,2,own,little,little,12,bad,car
836,21,female,2,own,,,12,good,radio/TV
837,23,female,1,rent,little,,4,good,furniture/equipment
838,63,male,2,own,little,little,24,good,car
839,46,male,2,own,little,,24,good,radio/TV
840,29,male,2,own,little,little,36,bad,furniture/equipment
841,28,male,1,own,little,,21,good,car
842,23,female,2,own,little,,18,bad,repairs
843,50,male,2,own,little,,24,good,business
844,47,male,2,own,little,,18,good,furniture/equipment
845,35,male,2,own,,moderate,21,good,furniture/equipment
846,68,male,2,rent,,,18,bad,car
847,28,male,2,own,little,,24,good,car
848,59,male,2,own,little,little,9,good,radio/TV
849,57,male,1,own,little,little,12,bad,radio/TV
850,33,male,2,rent,little,little,20,bad,car
851,43,male,2,own,,,24,good,car
852,35,male,2,free,little,,15,good,radio/TV
853,32,male,1,free,little,little,18,bad,car
854,45,male,2,own,little,,36,good,car
855,33,male,2,own,moderate,,24,good,car
856,40,female,2,own,,,10,good,education
857,28,male,2,free,little,,15,good,furniture/equipment
858,29,female,2,own,little,little,15,bad,car
859,26,male,2,rent,moderate,,9,good,car
860,27,male,2,own,rich,,24,good,car
861,28,male,2,own,little,,18,bad,business
862,35,female,2,own,little,little,24,bad,radio/TV
863,32,male,1,own,rich,,27,good,furniture/equipment
864,25,male,1,rent,little,,10,bad,furniture/equipment
865,20,female,2,rent,quite rich,,15,good,furniture/equipment
866,27,female,2,own,little,little,18,good,radio/TV
867,42,male,2,own,little,,12,good,furniture/equipment
868,37,male,2,own,,,36,good,business
869,24,female,2,rent,little,little,12,good,furniture/equipment
870,40,female,2,own,quite rich,,36,good,furniture/equipment
871,46,male,2,own,little,rich,6,good,car
872,26,male,2,own,moderate,little,24,good,business
873,24,female,2,own,,,15,good,domestic appliances
874,29,male,1,own,little,little,12,good,furniture/equipment
875,40,female,2,own,rich,moderate,11,good,car
876,36,male,3,free,little,little,18,good,radio/TV
877,28,male,2,own,little,,36,good,radio/TV
878,27,male,3,free,little,little,9,bad,car
879,36,male,2,own,,,30,good,radio/TV
880,38,male,3,own,little,,24,good,car
881,48,male,2,free,,,24,good,car
882,36,male,2,own,,moderate,30,good,car
883,65,female,0,own,little,,18,good,radio/TV
884,43,male,2,own,little,moderate,24,bad,furniture/equipment
885,53,female,2,own,little,little,12,bad,education
886,34,male,2,own,,moderate,24,good,business
887,23,male,2,own,little,moderate,48,bad,business
888,34,male,3,own,little,,36,good,car
889,40,male,2,rent,,,28,good,car
890,43,male,3,own,little,little,27,good,business
891,46,male,2,own,little,,15,good,radio/TV
892,38,male,1,own,little,little,12,good,car
893,34,male,2,own,little,moderate,36,good,car
894,29,male,2,own,,,18,good,radio/TV
895,31,male,3,own,,,36,good,car
896,28,female,3,rent,little,little,21,good,radio/TV
897,35,female,2,own,rich,,12,good,furniture/equipment
898,33,female,1,rent,,,15,good,furniture/equipment
899,42,male,2,own,little,little,18,bad,furniture/equipment
900,43,male,2,rent,little,little,16,bad,car
901,44,male,2,own,,,20,good,car
902,42,male,2,free,,,36,good,car
903,40,male,2,rent,,,15,good,radio/TV
904,36,male,3,own,little,,24,good,radio/TV
905,20,male,3,rent,little,little,12,good,radio/TV
906,24,male,1,own,,little,21,good,car
907,27,male,2,own,,moderate,36,good,education
908,46,female,1,own,little,,15,good,car
909,33,female,1,own,,moderate,9,good,car
910,34,female,2,own,little,,36,good,radio/TV
911,25,female,1,own,little,moderate,24,bad,furniture/equipment
912,25,female,2,own,,moderate,30,good,radio/TV
913,28,male,2,own,rich,,11,good,business
914,31,male,2,rent,little,little,24,bad,business
915,32,female,3,own,little,moderate,48,bad,vacation/others
916,32,male,2,own,moderate,,10,good,car
917,68,male,3,own,little,little,6,bad,car
918,33,male,2,own,moderate,little,24,bad,furniture/equipment
919,39,male,3,rent,little,little,24,bad,furniture/equipment
920,28,female,2,own,little,,18,good,furniture/equipment
921,37,male,3,own,quite rich,,48,good,radio/TV
922,22,female,2,rent,little,little,9,bad,radio/TV
923,30,male,2,rent,little,moderate,12,good,car
924,55,male,2,own,little,little,24,bad,furniture/equipment
925,46,male,2,own,little,little,12,bad,car
926,21,female,2,rent,little,little,18,good,furniture/equipment
927,39,male,2,free,little,little,48,bad,car
928,58,male,2,own,,,30,good,radio/TV
929,43,male,1,own,little,little,12,good,car
930,24,male,1,own,little,little,24,good,furniture/equipment
931,22,female,2,own,little,moderate,9,bad,radio/TV
932,30,male,2,own,little,,9,good,car
933,42,male,2,own,quite rich,,12,good,radio/TV
934,23,female,2,own,little,little,12,good,radio/TV
935,30,male,3,own,moderate,moderate,30,bad,radio/TV
936,28,female,1,own,little,rich,9,bad,radio/TV
937,30,male,3,rent,little,moderate,6,good,radio/TV
938,42,male,2,free,little,moderate,60,bad,education
939,46,male,3,own,,,24,good,car
940,45,male,3,own,,,12,good,car
941,31,male,1,own,little,,10,good,car
942,31,male,2,own,,,24,good,furniture/equipment
943,42,male,1,own,little,,4,good,car
944,46,female,2,rent,little,little,15,good,furniture/equipment
945,30,female,2,own,quite rich,moderate,48,good,car
946,30,male,2,free,quite rich,little,24,bad,furniture/equipment
947,38,male,3,own,,,12,good,car
948,43,male,1,own,little,,18,bad,furniture/equipment
949,31,male,2,own,moderate,,24,bad,radio/TV
950,40,male,0,own,little,moderate,18,good,business
951,24,male,2,own,little,little,36,bad,business
952,28,female,2,rent,quite rich,moderate,24,bad,radio/TV
953,26,female,3,own,little,,36,bad,furniture/equipment
954,29,female,2,own,little,little,12,good,car
955,57,female,3,rent,rich,little,24,good,radio/TV
956,49,male,1,own,,rich,30,good,radio/TV
957,37,male,1,own,little,moderate,9,good,radio/TV
958,45,male,1,own,little,little,28,bad,car
959,30,male,2,free,moderate,moderate,24,good,furniture/equipment
960,30,male,2,rent,little,,6,good,radio/TV
961,47,male,2,own,little,moderate,21,good,car
962,29,male,2,own,,,15,good,car
963,35,male,2,own,quite rich,,24,bad,radio/TV
964,22,male,1,own,little,moderate,6,good,repairs
965,26,female,2,own,,moderate,30,good,radio/TV
966,23,male,1,own,quite rich,moderate,27,bad,radio/TV
967,54,female,3,rent,little,,15,good,radio/TV
968,29,male,2,rent,,,42,good,radio/TV
969,40,male,1,own,little,little,11,good,car
970,22,male,2,own,moderate,moderate,15,good,repairs
971,43,male,1,own,little,,24,good,car
972,29,female,0,rent,little,little,24,bad,car
973,36,male,2,rent,little,little,60,bad,business
974,33,female,2,own,little,,30,good,radio/TV
975,57,female,1,own,quite rich,rich,24,good,radio/TV
976,64,female,2,own,little,moderate,6,good,radio/TV
977,42,male,2,own,,moderate,18,good,business
978,47,male,1,own,little,,24,bad,car
979,25,male,2,rent,moderate,moderate,15,bad,car
980,49,male,2,own,little,moderate,30,bad,furniture/equipment
981,33,male,3,rent,little,,48,bad,business
982,28,female,3,own,moderate,rich,21,good,car
983,26,male,2,own,little,little,36,bad,car
984,30,male,1,own,little,,24,good,furniture/equipment
985,25,female,2,rent,little,little,15,good,furniture/equipment
986,33,male,2,own,little,rich,42,good,business
987,64,female,2,own,moderate,,13,good,radio/TV
988,29,male,3,free,little,little,24,good,car
989,48,male,1,own,little,moderate,24,good,radio/TV
990,37,male,1,own,,,12,good,education
991,34,male,1,own,moderate,,15,good,radio/TV
992,23,male,1,rent,,little,18,good,radio/TV
993,30,male,3,own,little,little,36,good,furniture/equipment
994,50,male,2,own,,,12,good,car
995,31,female,1,own,little,,12,good,furniture/equipment
996,40,male,3,own,little,little,30,good,car
997,38,male,2,own,little,,12,good,radio/TV
998,23,male,2,free,little,little,45,bad,radio/TV
999,27,male,2,own,moderate,moderate,45,good,car
